trafikplatsnamn;signatur;northing;easting;lat;long;bandel
Lillängen;xLiä;6578304;679965;59.30516;18.1612;473
Skelleftehamns övre;Söv;7188187;796737;64.68715;21.22771;143
Backe;Be;7076330;570269;63.80733;16.42691;153
Bor;Bor;6330610;449662;57.11604;14.16876;720
Haparanda;Hp;7331048;916024;65.82783;24.13065;133
Stordalen;Soa;7586706;667539;68.34359;19.07053;111
Kälarne;Kln;6983897;554902;62.98066;16.08322;211
Dala-Järna;Dj;6712577;465043;60.54768;14.36272;376
Svedje;Svj;6954355;647703;62.68998;17.88615;232
Värnamo;V;6338539;441734;57.18633;14.03601;720
Röjan;Rjn;6927737;466963;62.47927;14.35915;264
Bodens södra;Bds;7316530;803323;65.82543;21.64769;120
Ragunda;Ru;6992881;571377;63.05841;16.41205;211
Torup;Tou;6314317;383212;56.95769;13.07953;733
Kjula;Kju;6578784;594511;59.33725;16.66141;451
Porjus;Pj;7435801;710713;66.96629;19.82988;161
Morjärv;Mjv;7349076;847655;66.0698;22.69642;137
Kågeröd;Kd;6207550;380462;55.99832;13.08329;924
Hasslerör;Hsr;6512722;438635;58.7502;13.93955;552
Husums norra;Humn;7031173;708459;63.34827;19.16737;171
Tällberg;Tlg;6742596;501100;60.81872;15.02022;331
Östersunds central;Ös;7004610;481762;63.17026;14.63783;222
Peuravaara;Pea;7537729;716578;67.87288;20.15742;112
Håmojåkk;Håk;7476734;722310;67.32371;20.17231;113
Gullberna;Gua;6227684;538702;56.19254;15.62366;823
Hjulsbro;Hj;6471168;541900;58.37934;15.71646;843
Härryda;Häy;6397359;339269;57.68968;12.30364;641
Skåre;Skr;6588767;412096;59.42829;13.45059;382
Arvidsjaur;Ajr;7280445;692145;65.58878;19.16897;151
Klippan;Kl;6222204;383777;56.13073;13.13004;932
Åsträsk;Åst;7174966;737793;64.61574;19.97527;126
Jörn;Jrn;7223816;736500;65.05332;20.02938;124
Ängelsberg;Äbg;6647038;556365;59.95687;16.00924;341
Hålbergsliden;Håb;7257150;710076;65.36929;19.52038;151
Näsbyallé;xNbe;6591700;675019;59.42736;18.08536;426
Finspång;Fg;6507197;545262;58.70257;15.7811;563
Sorsele industrispår;Sir;7273523;616513;65.56285;17.52454;164
Munkflohögen;Mfn;7047992;497471;63.56005;14.94909;261
Skogstorp;Skrp;6577931;583831;59.33184;16.47342;494
Lycksele timmer;Lyt;7168129;679818;64.59034;18.75748;152
Spännarhyttan;Spy;6660742;552576;60.08041;15.94492;344
Fyrislund;xFl;6638683;650189;59.85841;17.68167;001
Karlsberg;Ksg;6979211;532519;62.9413;15.64073;211
Hökmora;Hma;6658894;564428;60.06212;16.1573;313
Kirunavaara;Kia;7530002;718975;67.80206;20.1988;113
Boda;Boda;6830203;606573;61.59048;17.00805;235
Storå;Sr;6619826;507967;59.7163;15.14162;391
Harrå;Har;7485649;718570;67.40612;20.10273;113
Fredrikslund;Fre;6288568;558149;56.73748;15.95055;824
Jönåker;Jår;6512759;599818;58.74335;16.7247;421
Tyringe;Ty;6224735;412917;56.15967;13.59787;932
Sågbäcken;Sbä;7347692;843238;66.06232;22.59601;137
Näsberg;Nb;7373467;768530;66.36459;21.0098;118
Harasjön;Han;7008068;642990;63.17335;17.84049;175
Solsidan;xSln;6574873;687869;59.27097;18.2968;474
Gullträsk;Glt;7355641;778327;66.19703;21.18821;118
Garsås;Gså;6753150;490199;60.91336;14.81928;331
Forserum;Fm;6395197;468660;57.69788;14.47421;711
Bäckebron;Bäb;6615079;396674;59.66094;13.16611;661
Mörtsal;Möl;6964753;649276;62.78256;17.92606;232
Mellerud;Ml;6509639;353115;58.70192;12.46485;637
Stolpen;Soe;6383387;473361;57.5921;14.55437;732
Tväråbäck;Tvb;7104405;730994;63.98946;19.72415;126
Vallsta;Vl;6821262;572750;61.51811;16.36748;217
Ekskogen;xEkg;6615629;681868;59.639;18.22635;425
Brunnsgård;Bsd;6364430;506418;57.42256;15.10686;872
Tippen;xTip;6576247;686677;59.28381;18.27711;474
Långvattnet;Lnv;7063724;684689;63.65286;18.73133;129
Väderum;xVäm;6377646;564025;57.53679;16.06941;001
Koijuvaara;Kaa;7449300;749007;67.05776;20.73111;117
Mörsil;Mi;7020673;432729;63.30856;13.65766;221
Lysvik;Lyv;6654634;396190;60.01582;13.1378;661
Veddige;Vdi;6350211;339402;57.26666;12.33684;656
Tomelilla;Tli;6156045;433724;55.54592;13.9496;969
Vilhelmina timmer;Vmat;7170364;577088;64.64941;16.61374;165
